Region,FO#,Location,Slots,ACM_CountR,ITC,FRS,Total,Month
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2,KAISERSLAUTERN,170.0,11.0,13.0,7.0,201.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10,GARMISCH,23.0,2.0,2.0,1.0,28.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39,SOUDA BAY,24.0,2.0,2.0,1.0,29.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43,ROTA,57.0,4.0,5.0,4.0,70.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45,STUTTGART,98.0,4.0,4.0,3.0,109.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46,VILSECK,119.0,8.0,9.0,5.0,141.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47,WIESBADEN,96.0,6.0,5.0,3.0,110.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17,SINGAPORE,15.0,1.0,2.0,1.0,19.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22,ZAMA,135.0,7.0,9.0,7.0,158.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26,OKINAWA,357.0,18.0,23.0,13.0,411.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27,IWAKUNI,61.0,3.0,4.0,2.0,70.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20,SEOUL,124.0,6.0,7.0,3.0,140.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21,DAEGU,117.0,6.0,12.0,6.0,141.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23,UIJEONGBU,72.0,6.0,5.0,4.0,87.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24,PYONGTAEK,134.0,5.0,6.0,4.0,149.0,
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,2,KAISERSLAUTERN,170.0,11.0,13.0,7.0,201.0,
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,10,GARMISCH,23.0,2.0,2.0,1.0,28.0,
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,39,SOUDA BAY,24.0,2.0,2.0,1.0,29.0,
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,43,ROTA,57.0,4.0,5.0,4.0,70.0,
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,45,STUTTGART,98.0,4.0,4.0,3.0,109.0,
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,46,VILSECK,119.0,8.0,9.0,5.0,141.0,
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,47,WIESBADEN,96.0,6.0,5.0,3.0,110.0,
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,17,SINGAPORE,15.0,1.0,2.0,1.0,19.0,
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,22,ZAMA,137.0,7.0,9.0,7.0,160.0,
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,26,OKINAWA,357.0,18.0,23.0,13.0,411.0,
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,27,IWAKUNI,61.0,3.0,4.0,2.0,70.0,
Korea                                                                        Slots   ACM/CountR                  ITC           FRS           Total,20,SEOUL,116.0,6.0,7.0,3.0,132.0,
Korea                                                                        Slots   ACM/CountR                  ITC           FRS           Total,21,DAEGU,122.0,6.0,12.0,6.0,146.0,
Korea                                                                        Slots   ACM/CountR                  ITC           FRS           Total,23,UIJEONGBU,72.0,6.0,5.0,4.0,87.0,
Korea                                                                        Slots   ACM/CountR                  ITC           FRS           Total,24,PYONGTAEK,135.0,5.0,6.0,4.0,150.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2,KAISERSLAUTERN,170.0,11.0,13.0,7.0,201.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10,GARMISCH,23.0,2.0,2.0,1.0,28.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39,SOUDA BAY,24.0,2.0,2.0,1.0,29.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43,ROTA,57.0,4.0,5.0,4.0,70.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45,STUTTGART,98.0,4.0,4.0,3.0,109.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46,VILSECK,119.0,8.0,9.0,5.0,141.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47,WIESBADEN,96.0,6.0,5.0,3.0,110.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17,SINGAPORE,15.0,1.0,2.0,1.0,19.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22,ZAMA,137.0,7.0,9.0,7.0,160.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26,OKINAWA,358.0,18.0,24.0,13.0,413.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27,IWAKUNI,61.0,3.0,4.0,2.0,70.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20,SEOUL,103.0,4.0,5.0,2.0,114.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21,DAEGU,122.0,6.0,12.0,6.0,146.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23,UIJEONGBU,68.0,4.0,3.0,3.0,78.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24,PYONGTAEK,134.0,5.0,6.0,4.0,149.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2,KAISERSLAUTERN,170.0,11.0,13.0,7.0,201.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10,GARMISCH,23.0,2.0,2.0,1.0,28.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39,SOUDA BAY,24.0,2.0,2.0,1.0,29.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43,ROTA,57.0,4.0,5.0,4.0,70.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45,STUTTGART,98.0,4.0,4.0,3.0,109.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46,VILSECK,119.0,8.0,9.0,5.0,141.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47,WIESBADEN,96.0,6.0,5.0,3.0,110.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17,SINGAPORE,15.0,1.0,2.0,1.0,19.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22,ZAMA,137.0,7.0,9.0,7.0,160.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26,OKINAWA,358.0,18.0,24.0,13.0,413.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27,IWAKUNI,61.0,3.0,4.0,2.0,70.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20,SEOUL,103.0,4.0,5.0,2.0,114.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21,DAEGU,122.0,6.0,12.0,6.0,146.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23,UIJEONGBU,68.0,4.0,3.0,3.0,78.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24,PYONGTAEK,134.0,5.0,6.0,4.0,149.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2,KAISERSLAUTERN,170.0,11.0,13.0,7.0,201.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10,GARMISCH,23.0,2.0,2.0,1.0,28.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39,SOUDA BAY,24.0,2.0,2.0,1.0,29.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43,ROTA,57.0,4.0,5.0,4.0,70.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45,STUTTGART,98.0,4.0,4.0,3.0,109.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46,VILSECK,119.0,8.0,9.0,5.0,141.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47,WIESBADEN,96.0,6.0,5.0,3.0,110.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17,SINGAPORE,15.0,1.0,2.0,1.0,19.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22,ZAMA,137.0,7.0,9.0,7.0,160.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26,OKINAWA,358.0,18.0,24.0,13.0,413.0,
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27,IWAKUNI,61.0,3.0,4.0,2.0,70.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20,SEOUL,103.0,4.0,5.0,2.0,114.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21,DAEGU,122.0,6.0,12.0,6.0,146.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23,UIJEONGBU,68.0,4.0,3.0,3.0,78.0,
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24,PYONGTAEK,134.0,5.0,6.0,4.0,149.0,
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2,KAISERSLAUTERN,170.0,11.0,13.0,7.0,201.0,May 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,May 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10,GARMISCH,23.0,2.0,2.0,1.0,28.0,May 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,May 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39,SOUDA BAY,24.0,2.0,2.0,1.0,29.0,May 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,May 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,May 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43,ROTA,57.0,4.0,5.0,4.0,70.0,May 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45,STUTTGART,98.0,4.0,4.0,3.0,109.0,May 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46,VILSECK,119.0,8.0,9.0,5.0,141.0,May 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47,WIESBADEN,96.0,6.0,5.0,3.0,110.0,May 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17,SINGAPORE,15.0,1.0,2.0,1.0,19.0,May 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,May 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,May 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22,ZAMA,137.0,7.0,9.0,7.0,160.0,May 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26,OKINAWA,358.0,18.0,24.0,13.0,413.0,May 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27,IWAKUNI,61.0,3.0,4.0,2.0,70.0,May 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20,SEOUL,103.0,4.0,5.0,2.0,114.0,May 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21,DAEGU,123.0,6.0,12.0,6.0,147.0,May 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23,UIJEONGBU,68.0,4.0,3.0,3.0,78.0,May 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24,PYONGTAEK,141.0,6.0,7.0,4.0,158.0,May 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2,KAISERSLAUTERN,170.0,11.0,13.0,7.0,201.0,June 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,June 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10,GARMISCH,23.0,2.0,2.0,1.0,28.0,June 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,June 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39,SOUDA BAY,24.0,2.0,2.0,1.0,29.0,June 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,June 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,June 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43,ROTA,57.0,4.0,5.0,4.0,70.0,June 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45,STUTTGART,98.0,4.0,4.0,3.0,109.0,June 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46,VILSECK,119.0,8.0,9.0,5.0,141.0,June 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47,WIESBADEN,96.0,6.0,5.0,3.0,110.0,June 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17,SINGAPORE,15.0,1.0,2.0,1.0,19.0,June 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,June 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,June 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22,ZAMA,135.0,7.0,9.0,7.0,158.0,June 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26,OKINAWA,358.0,18.0,24.0,13.0,413.0,June 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27,IWAKUNI,61.0,3.0,4.0,2.0,70.0,June 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20,SEOUL,103.0,4.0,5.0,2.0,114.0,June 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21,DAEGU,126.0,6.0,12.0,6.0,150.0,June 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23,UIJEONGBU,68.0,4.0,3.0,3.0,78.0,June 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24,PYONGTAEK,141.0,6.0,7.0,4.0,158.0,June 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2,KAISERSLAUTERN,170.0,11.0,13.0,7.0,201.0,July 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,July 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10,GARMISCH,23.0,2.0,2.0,1.0,28.0,July 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,July 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39,SOUDA BAY,24.0,2.0,2.0,1.0,29.0,July 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,July 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,July 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43,ROTA,57.0,4.0,5.0,4.0,70.0,July 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45,STUTTGART,98.0,4.0,4.0,3.0,109.0,July 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46,VILSECK,119.0,8.0,9.0,5.0,141.0,July 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47,WIESBADEN,96.0,6.0,5.0,3.0,110.0,July 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17,SINGAPORE,15.0,1.0,2.0,1.0,19.0,July 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,July 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,July 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22,ZAMA,138.0,7.0,9.0,7.0,161.0,July 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26,OKINAWA,357.0,18.0,24.0,13.0,412.0,July 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27,IWAKUNI,59.0,3.0,4.0,2.0,68.0,July 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20,SEOUL,103.0,4.0,5.0,2.0,114.0,July 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21,DAEGU,126.0,6.0,12.0,6.0,150.0,July 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23,UIJEONGBU,68.0,4.0,3.0,3.0,78.0,July 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24,PYONGTAEK,141.0,6.0,7.0,4.0,158.0,July 2020
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,2,KAISERSLAUTERN,170.0,11.0,13.0,7.0,201.0,August 2020
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,August 2020
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,10,GARMISCH,23.0,2.0,2.0,1.0,28.0,August 2020
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,August 2020
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,39,SOUDA BAY,24.0,2.0,2.0,1.0,29.0,August 2020
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,August 2020
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,August 2020
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,43,ROTA,57.0,4.0,5.0,4.0,70.0,August 2020
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,45,STUTTGART,98.0,4.0,4.0,3.0,109.0,August 2020
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,46,VILSECK,119.0,8.0,9.0,5.0,141.0,August 2020
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,47,WIESBADEN,96.0,6.0,5.0,3.0,110.0,August 2020
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,17,SINGAPORE,15.0,1.0,2.0,1.0,19.0,August 2020
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,August 2020
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,August 2020
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,22,ZAMA,136.0,7.0,9.0,7.0,159.0,August 2020
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,26,OKINAWA,268.0,18.0,24.0,13.0,323.0,August 2020
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,27,IWAKUNI,59.0,3.0,4.0,2.0,68.0,August 2020
Korea                                                                        Slots   ACM/CountR                  ITC           FRS           Total,20,SEOUL,103.0,4.0,5.0,2.0,114.0,August 2020
Korea                                                                        Slots   ACM/CountR                  ITC           FRS           Total,21,DAEGU,118.0,6.0,10.0,5.0,139.0,August 2020
Korea                                                                        Slots   ACM/CountR                  ITC           FRS           Total,23,UIJEONGBU,68.0,4.0,3.0,3.0,78.0,August 2020
Korea                                                                        Slots   ACM/CountR                  ITC           FRS           Total,24,PYONGTAEK,141.0,6.0,7.0,4.0,158.0,August 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2,KAISERSLAUTERN,170.0,11.0,13.0,7.0,201.0,September 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,September 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10,GARMISCH,23.0,2.0,2.0,1.0,28.0,September 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,September 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39,SOUDA BAY,24.0,2.0,2.0,1.0,29.0,September 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,September 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,September 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43,ROTA,57.0,4.0,5.0,4.0,70.0,September 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45,STUTTGART,91.0,4.0,4.0,3.0,102.0,September 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46,VILSECK,119.0,8.0,9.0,5.0,141.0,September 2020
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47,WIESBADEN,96.0,6.0,5.0,3.0,110.0,September 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17,SINGAPORE,15.0,1.0,2.0,1.0,19.0,September 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,September 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,September 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22,ZAMA,130.0,7.0,9.0,7.0,153.0,September 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26,OKINAWA,328.0,18.0,24.0,13.0,383.0,September 2020
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27,IWAKUNI,59.0,3.0,4.0,2.0,68.0,September 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20,SEOUL,101.0,4.0,5.0,2.0,112.0,September 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21,DAEGU,118.0,5.0,10.0,5.0,138.0,September 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23,UIJEONGBU,69.0,4.0,3.0,3.0,79.0,September 2020
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24,PYONGTAEK,133.0,6.0,7.0,4.0,150.0,September 2020
