Date,AssetType,Balance,Category
2023-06-30,Prepaid Expenses,255506.02,ASSETS
2023-06-30,Fixed Assets,43778776.34,ASSETS
2023-06-30,Less Accum Depreciation,-31088860.28,ASSETS
2023-06-30,TOTAL ASSETS,51340432.41,ASSETS
2023-06-30,Accounts Payable,2174016.25,LIABILITIES
2023-06-30,Distributions Payable,1614443.95,LIABILITIES
2023-06-30,Accrued Liabilities,1331017.94,LIABILITIES
2023-06-30,Accrued Salaries,397410.15,LIABILITIES
2023-06-30,Accrued Leave Payable,590571.08,LIABILITIES
2023-06-30,Total Liabilities,6107459.37,LIABILITIES
2023-06-30,EQUITY,45232973.04,EQUITY
2023-06-30,TOTAL LIABILITIES & EQUITY,51340432.41,EQUITY
2020-07-31,Cash,30602582.21,ASSETS
2020-07-31,Accounts Receivable,130527.11,ASSETS
2020-07-31,Prepaid Expenses,264337.52,ASSETS
2020-07-31,Fixed Assets,45001161.46,ASSETS
2020-07-31,Less Accum Depreciation,-30636452.30,ASSETS
2020-07-31,TOTAL ASSETS,45362156.00,ASSETS
2020-07-31,Accounts Payable,959232.31,LIABILITIES
2020-07-31,Distributions Payable,968660.67,LIABILITIES
2020-07-31,Accrued Liabilities,1285060.61,LIABILITIES
2020-07-31,Accrued Salaries,357243.70,LIABILITIES
2020-07-31,Accrued Leave Payable,541996.65,LIABILITIES
2020-07-31,Total Liabilities,4112193.94,LIABILITIES
2020-07-31,EQUITY,41249962.06,EQUITY
2020-07-31,TOTAL LIABILITIES & EQUITY,45362156.00,EQUITY
2021-07-31,Cash,36421281.78,ASSETS
2021-07-31,Accounts Receivable,103859.44,ASSETS
2021-07-31,Prepaid Expenses,275701.06,ASSETS
2021-07-31,Fixed Assets,44217491.99,ASSETS
2021-07-31,Less Accum Depreciation,-33167930.36,ASSETS
2021-07-31,TOTAL ASSETS,47850403.91,ASSETS
2021-07-31,Accounts Payable,397890.83,LIABILITIES
2021-07-31,Distributions Payable,934246.36,LIABILITIES
2021-07-31,Accrued Liabilities,1346004.09,LIABILITIES
2021-07-31,Accrued Salaries,359721.13,LIABILITIES
2021-07-31,Accrued Leave Payable,587390.49,LIABILITIES
2021-07-31,Total Liabilities,3625252.90,LIABILITIES
2021-07-31,EQUITY,44225151.01,EQUITY
2021-07-31,TOTAL LIABILITIES & EQUITY,47850403.91,EQUITY
2022-07-31,Cash--Operating,19740976.03,ASSETS
2022-07-31,Cash--Restricted,21595786.81,ASSETS
2022-07-31,Accounts Receivable,206502.88,ASSETS
2022-07-31,Prepaid Expenses,260540.04,ASSETS
2022-07-31,Fixed Assets,41373783.49,ASSETS
2022-07-31,Less Accum Depreciation,-33732569.78,ASSETS
2022-07-31,TOTAL ASSETS,49445019.47,ASSETS
2022-07-31,Accounts Payable,639135.29,LIABILITIES
2022-07-31,Distributions Payable,938056.89,LIABILITIES
2022-07-31,Accrued Liabilities,1667227.13,LIABILITIES
2022-07-31,Accrued Salaries,393477.28,LIABILITIES
2022-07-31,Accrued Leave Payable,574149.84,LIABILITIES
2022-07-31,Total Liabilities,4212046.43,LIABILITIES
2022-07-31,EQUITY,45232973.04,EQUITY
2022-07-31,TOTAL LIABILITIES & EQUITY,49445019.47,EQUITY
2023-07-31,Cash--Operating,25048172.14,ASSETS
2023-07-31,Cash--Restricted,11289835.25,ASSETS
2023-07-31,Accounts Receivable,503720.52,ASSETS
2023-07-31,Prepaid Expenses,251041.36,ASSETS
2023-07-31,Fixed Assets,46561930.79,ASSETS
2023-07-31,Less Accum Depreciation,-31459977.47,ASSETS
2023-07-31,TOTAL ASSETS,52194722.59,ASSETS
2023-07-31,Accounts Payable,3090927.66,LIABILITIES
2023-07-31,Distributions Payable,1270608.41,LIABILITIES
2023-07-31,Accrued Liabilities,1582242.09,LIABILITIES
2023-07-31,Accrued Salaries,427780.27,LIABILITIES
2023-07-31,Accrued Leave Payable,590191.12,LIABILITIES
2023-07-31,Total Liabilities,6961749.55,LIABILITIES
2023-07-31,EQUITY,45232973.04,EQUITY
2023-07-31,TOTAL LIABILITIES & EQUITY,52194722.59,EQUITY
2020-08-31,Cash,32094379.96,ASSETS
2020-08-31,Accounts Receivable,104276.85,ASSETS
2020-08-31,Prepaid Expenses,290509.21,ASSETS
2020-08-31,Fixed Assets,45241099.56,ASSETS
2020-08-31,Less Accum Depreciation,-30950645.41,ASSETS
2020-08-31,TOTAL ASSETS,46779620.17,ASSETS
2020-08-31,Accounts Payable,1119997.37,LIABILITIES
2020-08-31,Distributions Payable,2397742.23,LIABILITIES
2020-08-31,Accrued Liabilities,1448386.97,LIABILITIES
2020-08-31,Accrued Salaries,390597.88,LIABILITIES
2020-08-31,Accrued Leave Payable,532293.32,LIABILITIES
2020-08-31,Total Liabilities,5889017.77,LIABILITIES
2020-08-31,EQUITY,40890602.40,EQUITY
2020-08-31,TOTAL LIABILITIES & EQUITY,46779620.17,EQUITY
2021-08-31,Cash,37745034.87,ASSETS
2021-08-31,Accounts Receivable,91634.90,ASSETS
2021-08-31,Prepaid Expenses,305062.84,ASSETS
2021-08-31,Fixed Assets,44217491.99,ASSETS
2021-08-31,Less Accum Depreciation,-33521075.21,ASSETS
2021-08-31,TOTAL ASSETS,48838149.39,ASSETS
2021-08-31,Accounts Payable,475484.94,LIABILITIES
2021-08-31,Distributions Payable,1456169.63,LIABILITIES
2021-08-31,Accrued Liabilities,1337572.25,LIABILITIES
2021-08-31,Accrued Salaries,419125.10,LIABILITIES
2021-08-31,Accrued Leave Payable,571501.61,LIABILITIES
2021-08-31,Total Liabilities,4259853.53,LIABILITIES
2021-08-31,EQUITY,44578295.86,EQUITY
2021-08-31,TOTAL LIABILITIES & EQUITY,48838149.39,EQUITY
2022-08-31,Cash--Operating,21151032.31,ASSETS
2022-08-31,Cash--Restricted,21174550.73,ASSETS
2022-08-31,Accounts Receivable,254934.51,ASSETS
2022-08-31,Prepaid Expenses,308721.41,ASSETS
2022-08-31,Fixed Assets,41581423.31,ASSETS
2022-08-31,Less Accum Depreciation,-33961423.19,ASSETS
2022-08-31,TOTAL ASSETS,50509239.08,ASSETS
2022-08-31,Accounts Payable,972395.16,LIABILITIES
2022-08-31,Distributions Payable,1983928.94,LIABILITIES
2022-08-31,Accrued Liabilities,1312286.56,LIABILITIES
2022-08-31,Accrued Salaries,459449.65,LIABILITIES
2022-08-31,Accrued Leave Payable,548205.73,LIABILITIES
2022-08-31,Total Liabilities,5276266.04,LIABILITIES
2022-08-31,EQUITY,45232973.04,EQUITY
2022-08-31,TOTAL LIABILITIES & EQUITY,50509239.08,EQUITY
2023-08-31,Cash--Operating,27588927.74,ASSETS
2023-08-31,Cash--Restricted,6755067.44,ASSETS
2023-08-31,Accounts Receivable,513485.20,ASSETS
2023-08-31,Prepaid Expenses,277815.27,ASSETS
2023-08-31,Fixed Assets,48823427.29,ASSETS
2023-08-31,Less Accum Depreciation,-31796885.61,ASSETS
2023-08-31,TOTAL ASSETS,52161837.33,ASSETS
2023-08-31,Accounts Payable,2455698.09,LIABILITIES
2023-08-31,Distributions Payable,2205627.70,LIABILITIES
2023-08-31,Accrued Liabilities,1176346.63,LIABILITIES
2023-08-31,Accrued Salaries,509908.57,LIABILITIES
2023-08-31,Accrued Leave Payable,581283.30,LIABILITIES
2023-08-31,Total Liabilities,6928864.29,LIABILITIES
2023-08-31,EQUITY,45232973.04,EQUITY
2023-08-31,TOTAL LIABILITIES & EQUITY,52161837.33,EQUITY
2020-09-30,Cash,33214307.99,ASSETS
2020-09-30,Accounts Receivable,129705.56,ASSETS
2020-09-30,Prepaid Expenses,250568.64,ASSETS
2020-09-30,Fixed Assets,45561576.45,ASSETS
2020-09-30,Less Accum Depreciation,-31111669.20,ASSETS
2020-09-30,TOTAL ASSETS,48044489.44,ASSETS
2020-09-30,Accounts Payable,692483.72,LIABILITIES
2020-09-30,Distributions Payable,4220579.40,LIABILITIES
2020-09-30,Accrued Liabilities,1222160.29,LIABILITIES
2020-09-30,Accrued Salaries,480975.42,LIABILITIES
2020-09-30,Accrued Leave Payable,537688.21,LIABILITIES
2020-09-30,Total Liabilities,7153887.04,LIABILITIES
2020-09-30,EQUITY,40890602.40,EQUITY
2020-09-30,TOTAL LIABILITIES & EQUITY,48044489.44,EQUITY
2021-09-30,Cash,38194048.04,ASSETS
2021-09-30,Accounts Receivable,68465.18,ASSETS
2021-09-30,Prepaid Expenses,260397.04,ASSETS
2021-09-30,Fixed Assets,43346687.49,ASSETS
2021-09-30,Less Accum Depreciation,-32981060.79,ASSETS
2021-09-30,TOTAL ASSETS,48888536.96,ASSETS
2021-09-30,Accounts Payable,401742.75,LIABILITIES
2021-09-30,Distributions Payable,1235545.80,LIABILITIES
2021-09-30,Accrued Liabilities,1247628.83,LIABILITIES
2021-09-30,Accrued Salaries,509033.59,LIABILITIES
2021-09-30,Accrued Leave Payable,585500.05,LIABILITIES
2021-09-30,Total Liabilities,3979451.02,LIABILITIES
2021-09-30,EQUITY,44909085.94,EQUITY
2021-09-30,TOTAL LIABILITIES & EQUITY,48888536.96,EQUITY
2022-09-30,Cash--Operating,21168805.37,ASSETS
2022-09-30,Cash--Restricted,20649103.73,ASSETS
2022-09-30,Accounts Receivable,122663.27,ASSETS
2022-09-30,Prepaid Expenses,282764.22,ASSETS
2022-09-30,Fixed Assets,41573227.39,ASSETS
2022-09-30,Less Accum Depreciation,-34222454.41,ASSETS
2022-09-30,TOTAL ASSETS,49574109.57,ASSETS
2022-09-30,Accounts Payable,380035.00,LIABILITIES
2022-09-30,Distributions Payable,1469914.61,LIABILITIES
2022-09-30,Accrued Liabilities,1458043.39,LIABILITIES
2022-09-30,Accrued Salaries,501104.02,LIABILITIES
2022-09-30,Accrued Leave Payable,532039.51,LIABILITIES
2022-09-30,Total Liabilities,4341136.53,LIABILITIES
2022-09-30,EQUITY,45232973.04,EQUITY
2022-09-30,TOTAL LIABILITIES & EQUITY,49574109.57,EQUITY
2023-09-30,Cash--Operating,26652210.41,ASSETS
2023-09-30,Cash--Restricted,5573357.44,ASSETS
2023-09-30,Accounts Receivable,623757.34,ASSETS
2023-09-30,Prepaid Expenses,257881.98,ASSETS
2023-09-30,Fixed Assets,48882886.12,ASSETS
2023-09-30,Less Accum Depreciation,-30905394.82,ASSETS
2023-09-30,TOTAL ASSETS,51084698.47,ASSETS
2023-09-30,Accounts Payable,1746772.40,LIABILITIES
2023-09-30,Distributions Payable,1236186.63,LIABILITIES
2023-09-30,Accrued Liabilities,1708803.09,LIABILITIES
2023-09-30,Accrued Salaries,567369.60,LIABILITIES
2023-09-30,Accrued Leave Payable,592593.71,LIABILITIES
2023-09-30,Total Liabilities,5851725.43,LIABILITIES
2023-09-30,EQUITY,45232973.04,EQUITY
2023-09-30,TOTAL LIABILITIES & EQUITY,51084698.47,EQUITY
2020-10-31,Cash,35043719.72,ASSETS
2020-10-31,Accounts Receivable,59890.14,ASSETS
2020-10-31,Prepaid Expenses,349133.20,ASSETS
2020-10-31,Fixed Assets,45370825.20,ASSETS
2020-10-31,Less Accum Depreciation,-31065389.76,ASSETS
2020-10-31,TOTAL ASSETS,49758178.50,ASSETS
2020-10-31,Accounts Payable,830412.26,LIABILITIES
2020-10-31,Distributions Payable,5132132.54,LIABILITIES
2020-10-31,Accrued Liabilities,1495642.95,LIABILITIES
2020-10-31,Accrued Salaries,505893.57,LIABILITIES
2020-10-31,Accrued Leave Payable,531083.31,LIABILITIES
2020-10-31,Total Liabilities,8495164.63,LIABILITIES
2020-10-31,EQUITY,41263013.87,EQUITY
2020-10-31,TOTAL LIABILITIES & EQUITY,49758178.50,EQUITY
2021-10-31,Cash,38704460.59,ASSETS
2021-10-31,Accounts Receivable,101368.83,ASSETS
2021-10-31,Prepaid Expenses,279191.87,ASSETS
2021-10-31,Fixed Assets,43181565.01,ASSETS
2021-10-31,Less Accum Depreciation,-33139825.41,ASSETS
2021-10-31,TOTAL ASSETS,49126760.89,ASSETS
2021-10-31,Accounts Payable,414331.94,LIABILITIES
2021-10-31,Distributions Payable,695510.77,LIABILITIES
2021-10-31,Accrued Liabilities,1697226.96,LIABILITIES
2021-10-31,Accrued Salaries,511633.57,LIABILITIES
2021-10-31,Accrued Leave Payable,575084.61,LIABILITIES
2021-10-31,Total Liabilities,3893787.85,LIABILITIES
2021-10-31,EQUITY,45232973.04,EQUITY
2021-10-31,TOTAL LIABILITIES & EQUITY,49126760.89,EQUITY
2022-10-31,Cash--Operating,21446534.83,ASSETS
2022-10-31,Cash--Restricted,20649103.73,ASSETS
2022-10-31,Accounts Receivable,219290.14,ASSETS
2022-10-31,Prepaid Expenses,388564.43,ASSETS
2022-10-31,Fixed Assets,41361219.95,ASSETS
2022-10-31,Less Accum Depreciation,-34268298.72,ASSETS
2022-10-31,TOTAL ASSETS,49796414.36,ASSETS
2022-10-31,Accounts Payable,391390.11,LIABILITIES
2022-10-31,Distributions Payable,1506464.52,LIABILITIES
2022-10-31,Accrued Liabilities,1600123.35,LIABILITIES
2022-10-31,Accrued Salaries,536800.73,LIABILITIES
2022-10-31,Accrued Leave Payable,528662.61,LIABILITIES
2022-10-31,Total Liabilities,4563441.32,LIABILITIES
2022-10-31,EQUITY,45232973.04,EQUITY
2022-10-31,TOTAL LIABILITIES & EQUITY,49796414.36,EQUITY
2023-10-31,Cash--Operating,27650960.63,ASSETS
2023-10-31,Cash--Restricted,5260123.02,ASSETS
2023-10-31,Accounts Receivable,361420.58,ASSETS
2023-10-31,Prepaid Expenses,320197.14,ASSETS
2023-10-31,Fixed Assets,48882886.12,ASSETS
2023-10-31,Less Accum Depreciation,-31302330.12,ASSETS
2023-10-31,TOTAL ASSETS,51173257.37,ASSETS
2023-10-31,Accounts Payable,588375.44,LIABILITIES
2023-10-31,Distributions Payable,2912129.34,LIABILITIES
2023-10-31,Accrued Liabilities,1562772.73,LIABILITIES
2023-10-31,Accrued Salaries,294503.63,LIABILITIES
2023-10-31,Accrued Leave Payable,582503.19,LIABILITIES
2023-10-31,Total Liabilities,5940284.33,LIABILITIES
2023-10-31,EQUITY,45232973.04,EQUITY
2023-10-31,TOTAL LIABILITIES & EQUITY,51173257.37,EQUITY
2020-11-30,Cash,31312372.62,ASSETS
2020-11-30,Accounts Receivable,95239.27,ASSETS
2020-11-30,Prepaid Expenses,350628.13,ASSETS
2020-11-30,Fixed Assets,44969464.29,ASSETS
2020-11-30,Less Accum Depreciation,-31061079.26,ASSETS
2020-11-30,TOTAL ASSETS,45666625.05,ASSETS
2020-11-30,Accounts Payable,446200.49,LIABILITIES
2020-11-30,Distributions Payable,925701.12,LIABILITIES
2020-11-30,Accrued Liabilities,1587786.12,LIABILITIES
2020-11-30,Accrued Salaries,541402.48,LIABILITIES
2020-11-30,Accrued Leave Payable,531487.38,LIABILITIES
2020-11-30,Total Liabilities,4032577.59,LIABILITIES
2020-11-30,EQUITY,41634047.46,EQUITY
2020-11-30,TOTAL LIABILITIES & EQUITY,45666625.05,EQUITY
2021-11-30,Cash,39793207.19,ASSETS
2021-11-30,Accounts Receivable,188237.83,ASSETS
2021-11-30,Prepaid Expenses,475246.24,ASSETS
2021-11-30,Fixed Assets,42923359.02,ASSETS
2021-11-30,Less Accum Depreciation,-33203267.42,ASSETS
2021-11-30,TOTAL ASSETS,50176782.86,ASSETS
2021-11-30,Accounts Payable,339425.70,LIABILITIES
2021-11-30,Distributions Payable,2082857.66,LIABILITIES
2021-11-30,Accrued Liabilities,1392450.38,LIABILITIES
2021-11-30,Accrued Salaries,571087.91,LIABILITIES
2021-11-30,Accrued Leave Payable,557988.17,LIABILITIES
2021-11-30,Total Liabilities,4943809.82,LIABILITIES
2021-11-30,EQUITY,45232973.04,EQUITY
2021-11-30,TOTAL LIABILITIES & EQUITY,50176782.86,EQUITY
2022-11-30,Cash--Operating,22129627.22,ASSETS
2022-11-30,Cash--Restricted,20348762.73,ASSETS
2022-11-30,Accounts Receivable,224264.16,ASSETS
2022-11-30,Prepaid Expenses,495076.21,ASSETS
2022-11-30,Fixed Assets,41396414.16,ASSETS
2022-11-30,Less Accum Depreciation,-34256888.74,ASSETS
2022-11-30,TOTAL ASSETS,50337255.74,ASSETS
2022-11-30,Accounts Payable,718099.90,LIABILITIES
2022-11-30,Distributions Payable,2133779.96,LIABILITIES
2022-11-30,Accrued Liabilities,1437004.18,LIABILITIES
2022-11-30,Accrued Salaries,291474.63,LIABILITIES
2022-11-30,Accrued Leave Payable,523924.03,LIABILITIES
2022-11-30,Total Liabilities,5104282.70,LIABILITIES
2022-11-30,EQUITY,45232973.04,EQUITY
2022-11-30,TOTAL LIABILITIES & EQUITY,50337255.74,EQUITY
2023-11-30,Cash--Operating,26044278.15,ASSETS
2023-11-30,Cash--Restricted,4818200.47,ASSETS
2023-11-30,Accounts Receivable,443373.01,ASSETS
2023-11-30,Prepaid Expenses,1053427.13,ASSETS
2023-11-30,Fixed Assets,48941708.86,ASSETS
2023-11-30,Less Accum Depreciation,-31680181.24,ASSETS
2023-11-30,TOTAL ASSETS,49620806.38,ASSETS
2023-11-30,Accounts Payable,931324.31,LIABILITIES
2023-11-30,Distributions Payable,1107651.80,LIABILITIES
2023-11-30,Accrued Liabilities,1417667.01,LIABILITIES
2023-11-30,Accrued Salaries,357768.42,LIABILITIES
2023-11-30,Accrued Leave Payable,573421.80,LIABILITIES
2023-11-30,Total Liabilities,4387833.34,LIABILITIES
2023-11-30,EQUITY,45232973.04,EQUITY
2023-11-30,TOTAL LIABILITIES & EQUITY,49620806.38,EQUITY
2019-12-31,Cash,27546125.25,ASSETS
2019-12-31,Accounts Receivable,228103.23,ASSETS
2019-12-31,Prepaid Expenses,429988.47,ASSETS
2019-12-31,Fixed Assets,45172917.18,ASSETS
2019-12-31,Less Accum Depreciation,-29546648.51,ASSETS
2019-12-31,TOTAL ASSETS,43830485.62,ASSETS
2019-12-31,Accounts Payable,553006.07,LIABILITIES
2019-12-31,Distributions Payable,1547249.10,LIABILITIES
2019-12-31,Accrued Liabilities,1410653.45,LIABILITIES
2019-12-31,Accrued Salaries,270663.87,LIABILITIES
2019-12-31,Accrued Leave Payable,490698.84,LIABILITIES
2019-12-31,Total Liabilities,4272271.33,LIABILITIES
2019-12-31,EQUITY,39558214.29,EQUITY
2019-12-31,TOTAL LIABILITIES & EQUITY,43830485.62,EQUITY
2020-12-31,Cash,31754597.73,ASSETS
2020-12-31,Accounts Receivable,247253.41,ASSETS
2020-12-31,Prepaid Expenses,356184.28,ASSETS
2020-12-31,Fixed Assets,44969464.29,ASSETS
2020-12-31,Less Accum Depreciation,-31432666.40,ASSETS
2020-12-31,TOTAL ASSETS,45894833.31,ASSETS
2020-12-31,Accounts Payable,542394.04,LIABILITIES
2020-12-31,Distributions Payable,1112913.37,LIABILITIES
2020-12-31,Accrued Liabilities,1376608.68,LIABILITIES
2020-12-31,Accrued Salaries,339069.18,LIABILITIES
2020-12-31,Accrued Leave Payable,518213.44,LIABILITIES
2020-12-31,Total Liabilities,3889198.71,LIABILITIES
2020-12-31,EQUITY,42005634.60,EQUITY
2020-12-31,TOTAL LIABILITIES & EQUITY,45894833.31,EQUITY
2021-12-31,Cash,39509213.04,ASSETS
2021-12-31,Accounts Receivable,192717.22,ASSETS
2021-12-31,Prepaid Expenses,471285.08,ASSETS
2021-12-31,Fixed Assets,42923359.02,ASSETS
2021-12-31,Less Accum Depreciation,-33524916.06,ASSETS
2021-12-31,TOTAL ASSETS,49571658.30,ASSETS
2021-12-31,Accounts Payable,397111.88,LIABILITIES
2021-12-31,Distributions Payable,1598981.90,LIABILITIES
2021-12-31,Accrued Liabilities,1450880.61,LIABILITIES
2021-12-31,Accrued Salaries,376938.29,LIABILITIES
2021-12-31,Accrued Leave Payable,514772.58,LIABILITIES
2021-12-31,Total Liabilities,4338685.26,LIABILITIES
2021-12-31,EQUITY,45232973.04,EQUITY
2021-12-31,TOTAL LIABILITIES & EQUITY,49571658.30,EQUITY
2022-12-31,Cash--Operating,21586278.38,ASSETS
2022-12-31,Cash--Restricted,19972453.38,ASSETS
2022-12-31,Accounts Receivable,382222.25,ASSETS
2022-12-31,Prepaid Expenses,466140.12,ASSETS
2022-12-31,Fixed Assets,41641513.20,ASSETS
2022-12-31,Less Accum Depreciation,-34519558.56,ASSETS
2022-12-31,TOTAL ASSETS,49529048.77,ASSETS
2022-12-31,Accounts Payable,475756.27,LIABILITIES
2022-12-31,Distributions Payable,1328760.48,LIABILITIES
2022-12-31,Accrued Liabilities,1634752.63,LIABILITIES
2022-12-31,Accrued Salaries,355441.13,LIABILITIES
2022-12-31,Accrued Leave Payable,501365.22,LIABILITIES
2022-12-31,Total Liabilities,4296075.73,LIABILITIES
2022-12-31,EQUITY,45232973.04,EQUITY
2022-12-31,TOTAL LIABILITIES & EQUITY,49529048.77,EQUITY
2023-12-31,Cash--Operating,27273506.70,ASSETS
2023-12-31,Cash--Restricted,3980111.46,ASSETS
2023-12-31,Accounts Receivable,469606.13,ASSETS
2023-12-31,Prepaid Expenses,1078314.89,ASSETS
2023-12-31,Fixed Assets,49879776.39,ASSETS
2023-12-31,Less Accum Depreciation,-31268571.50,ASSETS
2023-12-31,TOTAL ASSETS,51412744.07,ASSETS
2023-12-31,Accounts Payable,2181320.93,LIABILITIES
2023-12-31,Distributions Payable,799313.84,LIABILITIES
2023-12-31,Accrued Liabilities,2259456.92,LIABILITIES
2023-12-31,Accrued Salaries,386900.61,LIABILITIES
2023-12-31,Accrued Leave Payable,552778.73,LIABILITIES
2023-12-31,Total Liabilities,6179771.03,LIABILITIES
2023-12-31,EQUITY,45232973.04,EQUITY
2023-12-31,TOTAL LIABILITIES & EQUITY,51412744.07,EQUITY
